individualCount,year,decimalLatitude,decimalLongitude,vernacularName
100,1981,-36.75684,143.25966,Eastern Grey Kangaroo
100,1990,-37.12351,142.79301,Eastern Grey Kangaroo
100,1990,-37.12351,142.79301,Eastern Grey Kangaroo
100,2001,-37.17049,142.78387,Eastern Grey Kangaroo
100,2001,-37.16974,142.77371,Eastern Grey Kangaroo
100,2010,-37.30109,142.69609,Eastern Grey Kangaroo
100,2011,-37.30109,142.69609,Eastern Grey Kangaroo
100,2016,-37.3088,142.69461,Eastern Grey Kangaroo
100,1983,-38.12352,142.54303,Eastern Grey Kangaroo
100,2004,-37.15161,142.52219,Eastern Grey Kangaroo
100,1988,-37.91534,141.33645,Eastern Grey Kangaroo
100,1998,-37.3902,141.32636,Eastern Grey Kangaroo
95,2021,-37.68013,145.04582,Eastern Grey Kangaroo
94,2018,-37.6175,144.90722,Eastern Grey Kangaroo
92,2018,-37.6175,144.90722,Eastern Grey Kangaroo
91,1980,-37.87332,142.03854,Eastern Grey Kangaroo
90,2017,-37.6175,144.90722,Eastern Grey Kangaroo
86,2019,-37.389,144.2668,Eastern Grey Kangaroo
85,1971,-37.54016,145.12631,Eastern Grey Kangaroo
84,2021,-37.6166,144.731,Eastern Grey Kangaroo
83,2019,-37.57778,144.76944,Eastern Grey Kangaroo
82,2021,-37.68013,145.04582,Eastern Grey Kangaroo
81,2017,-37.6175,144.90722,Eastern Grey Kangaroo
80,1980,-36.37348,145.70962,Eastern Grey Kangaroo
80,1971,-37.54016,145.12631,Eastern Grey Kangaroo
80,2021,-37.56585,145.08827,Eastern Grey Kangaroo
80,2006,-37.6375,144.48222,Eastern Grey Kangaroo
80,1997,-37.9485,144.418,Eastern Grey Kangaroo
80,2002,-38.46428,143.65764,Eastern Grey Kangaroo
80,1984,-38.10686,142.49303,Eastern Grey Kangaroo
79,2005,-37.95906,144.44189,Eastern Grey Kangaroo
78,1990,-36.34273,146.19389,Eastern Grey Kangaroo
75,2019,-38.46186,144.09781,Eastern Grey Kangaroo
74,1966,-37.54016,145.12631,Eastern Grey Kangaroo
74,2021,-37.76666,144.6849,Eastern Grey Kangaroo
73,2016,-38.7478,145.9569,Eastern Grey Kangaroo
72,2021,-37.59483,144.76803,Eastern Grey Kangaroo
71,1971,-37.54016,145.12631,Eastern Grey Kangaroo
71,2014,-37.565,144.8997,Eastern Grey Kangaroo
70,2009,-37.2333,145.43306,Eastern Grey Kangaroo
70,2005,-38.46874,144.92483,Eastern Grey Kangaroo
70,1976,-37.54016,144.54299,Eastern Grey Kangaroo
70,2018,-38.30282,144.36513,Eastern Grey Kangaroo
69,2012,-37.14225,142.74473,Eastern Grey Kangaroo
68,2018,-37.63944,144.865,Eastern Grey Kangaroo
65,2021,-37.76666,144.6849,Eastern Grey Kangaroo
62,1971,-37.54016,145.12631,Eastern Grey Kangaroo
62,2020,-37.60093,145.03223,Eastern Grey Kangaroo
61,2021,-37.6166,144.731,Eastern Grey Kangaroo
61,2020,-37.389,144.2668,Eastern Grey Kangaroo
60,1970,-37.92347,147.67628,Eastern Grey Kangaroo
60,2004,-36.14148,146.89361,Eastern Grey Kangaroo
60,1968,-37.16898,145.82477,Eastern Grey Kangaroo
60,2004,-37.7197,145.24542,Eastern Grey Kangaroo
60,2008,-37.56499,145.09055,Eastern Grey Kangaroo
60,2007,-37.56133,145.08725,Eastern Grey Kangaroo
60,1988,-37.46631,145.06367,Eastern Grey Kangaroo
60,2012,-37.6383,144.9678,Eastern Grey Kangaroo
60,2000,-37.63112,144.84863,Eastern Grey Kangaroo
60,2006,-37.63583,144.48361,Eastern Grey Kangaroo
60,2019,-38.3038,144.35684,Eastern Grey Kangaroo
60,2018,-37.43873,143.35464,Eastern Grey Kangaroo
60,1997,-37.33392,143.24258,Eastern Grey Kangaroo
60,2004,-37.11997,142.78718,Eastern Grey Kangaroo
60,2012,-37.30066,142.69668,Eastern Grey Kangaroo
60,2014,-37.3088,142.69461,Eastern Grey Kangaroo
60,2008,-37.30699,142.69457,Eastern Grey Kangaroo
59,2021,-37.6166,144.731,Eastern Grey Kangaroo
58,2021,-37.64562,145.08775,Eastern Grey Kangaroo
57,2019,-37.64436,145.08305,Eastern Grey Kangaroo
57,2008,-38.21076,141.85497,Eastern Grey Kangaroo
56,1991,-38.0276,145.62889,Eastern Grey Kangaroo
56,1996,-37.33392,143.24258,Eastern Grey Kangaroo
55,1970,-37.19119,142.59621,Eastern Grey Kangaroo
52,1993,-37.66681,145.26481,Eastern Grey Kangaroo
52,1962,-37.54016,145.12631,Eastern Grey Kangaroo
50,1987,-37.97346,147.70961,Eastern Grey Kangaroo
50,1987,-37.97346,147.70961,Eastern Grey Kangaroo
50,1973,-36.87347,146.45961,Eastern Grey Kangaroo
50,2017,-38.7478,145.9569,Eastern Grey Kangaroo
50,1988,-37.71181,145.26036,Eastern Grey Kangaroo
50,1992,-37.57474,145.25449,Eastern Grey Kangaroo
50,1991,-37.60471,145.20961,Eastern Grey Kangaroo
50,1989,-37.60379,145.2085,Eastern Grey Kangaroo
50,1992,-37.53404,145.12756,Eastern Grey Kangaroo
50,2013,-37.631,145.11481,Eastern Grey Kangaroo
50,2007,-37.56499,145.09055,Eastern Grey Kangaroo
50,2009,-37.56437,145.07981,Eastern Grey Kangaroo
50,2006,-37.62156,145.07778,Eastern Grey Kangaroo
50,2015,-37.62156,145.07778,Eastern Grey Kangaroo
50,2009,-37.61903,145.06028,Eastern Grey Kangaroo
50,2011,-37.61903,145.06028,Eastern Grey Kangaroo
50,1990,-36.60888,145.04508,Eastern Grey Kangaroo
50,2005,-36.74015,145.04297,Eastern Grey Kangaroo
50,1976,-36.74849,145.0013,Eastern Grey Kangaroo
50,2011,-37.6383,144.9678,Eastern Grey Kangaroo
50,2014,-37.6383,144.9678,Eastern Grey Kangaroo
