occurrenceID,catalogNumber,individualCount,year,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,vernacularName,species
3953199,3953199,100,1993,-37.97207,147.72597,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4341342,4341342,100,1977,-37.9568,147.70961,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4341388,4341388,100,1978,-38.04013,147.62628,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4341341,4341341,100,1977,-37.9568,147.62628,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4042612,4042612,100,1998,-37.7068,147.54294,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4001319,4001319,100,1995,-37.9146,147.51493,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4341404,4341404,100,1978,-38.04014,147.34295,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4341363,4341363,100,1978,-37.87347,147.22629,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342696,4342696,100,1977,-38.45681,147.04297,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4341387,4341387,100,1978,-37.37347,147.04295,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342730,4342730,100,1977,-38.54014,146.95964,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342695,4342695,100,1977,-38.45681,146.95963,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342698,4342698,100,1977,-38.62348,146.8763,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342697,4342697,100,1977,-38.62348,146.79297,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4283517,4283517,100,1999,-36.10223,146.59074,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4348359,4348359,100,1976,-38.66515,146.58464,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4082299,4082299,100,2000,-38.2737,146.58457,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4138445,4138445,100,2000,-38.2737,146.58457,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4152739,4152739,100,2000,-38.2737,146.58457,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342723,4342723,100,1977,-38.79015,146.54298,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342722,4342722,100,1977,-38.79015,146.54298,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4148985,4148985,100,2000,-35.96578,146.50827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4342726,4342726,100,1977,-38.70682,146.45965,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5653155,5653155,100,2008,-36.89959,146.32149,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3948323,3948323,100,1992,-36.22183,146.17956,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3992250,3992250,100,1995,-36.28828,146.14323,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3944263,3944263,100,1992,-38.72349,146.14298,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3916325,3916325,100,1991,-36.60681,145.94295,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4148723,4148723,100,2000,-35.97114,145.9426,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4148701,4148701,100,2000,-35.97085,145.90933,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4275642,4275642,100,1996,-36.69131,145.83208,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4152799,4152799,100,2000,-36.75179,145.75163,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5721847,5721847,100,2011,-37.34808,145.75078,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4148528,4148528,100,2000,-35.82288,145.55712,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5650642,5650642,100,2007,-38.58899,145.53156,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3977715,3977715,100,1985,-36.85121,145.39783,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3984715,3984715,100,1994,-37.96787,145.39549,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4522960,4522960,100,1992,-37.61717,145.32148,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4004368,4004368,100,1996,-37.61302,145.28419,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3914990,3914990,100,1990,-37.73357,145.20878,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4287327,4287327,100,2000,-37.62349,145.17631,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330537,4330537,100,1967,-37.54016,145.12631,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4044229,4044229,100,1997,-37.62757,145.11501,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4058310,4058310,100,1998,-37.62757,145.11501,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5678127,5678127,100,2008,-37.56499,145.09055,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5701010,5701010,100,2009,-37.56544,145.08997,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8504035,8504035,100,2017,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
11871499,11871499,100,2022,-37.56585,145.08827,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8504045,8504045,100,2017,-37.562,145.07916,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10226254,10226254,100,2020,-37.61775,145.07433,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6166954,6166954,100,2013,-37.6123,145.06329,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5591559,5591559,100,2005,-37.61859,145.06199,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4292103,4292103,100,2003,-37.00565,145.05632,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5648773,5648773,100,2008,-37.47361,145.0475,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4267680,4267680,100,1994,-36.73033,145.03081,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4073870,4073870,100,1999,-37.39258,145.01926,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5628154,5628154,100,2007,-36.78543,145.00491,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5628255,5628255,100,2007,-36.78543,145.00491,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5638366,5638366,100,2007,-36.78694,145.00361,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5638266,5638266,100,2007,-36.78694,145.00361,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5626910,5626910,100,2007,-36.7911,144.99788,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5602176,5602176,100,2006,-36.79107,144.99788,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
